College Name,Address,District,State,Contact number,Email id,Website
"A V N Institute Of Engineering And Technology, Rangareddy","Koheda Road, Ibrahimpatnam (M), Rangareddy,RangareddyAndhra Pradesh501510",Rangareddy,Andhra Pradesh,"08415-201345, 9246172317(Principal),9248011441(Admin Officer),",avniet.hyd@gmail.com,http://avniet.ac.in/
"A V Parekh Technical Institute, Rajkot","Dr. Yagnik Road,  Rajkot,RajkotGujarat360001",Rajkot,Gujarat,+91-281-2480175,avpti1948@yahoo.com,http://www.avpti.org/
"A V R And S V R College Of Engineering And Technology, Nandyal","Ayyalur (V),  Nandyal,KurnoolAndhra Pradesh518503",Nandyal,Andhra Pradesh,+91-08514-220301 ,avrsvr_cet@rediffmail.com,http://avrsvrcet.com/
"A V R And S V R Engineering College, Kurnool","Nannur (V), Orvakal Mandal, Kurnool,KurnoolAndhra Pradesh518001",Kurnool,Andhra Pradesh,(08518) 238584,avrsvr_ec@rediffmail.com,N/A
"A V S College Of Engineering And Technology, Nellore","AVS Nagar, ChowtaPalem Panchayat, Venkatachalam, Nellore,NelloreAndhra Pradesh524320",Nellore,Andhra Pradesh,"9885391855 / 9396782581 / 9949588085 / 0861 - 2163033, 2163322",avs_cet@hotmail.com,http://www.avsenggcollege.ac.in/
"A V S Engineering College, Salem","Military Road, Ammapet, Salem,SalemTamil Nadu636006",Salem,Tamil Nadu,"(0427) – 2295797, 2296555", info@avsenggcollege.ac.in,http://www.avsenggcollege.ac.in/
"A W H Engineering College, Kozhikode","Pattayilkunnu, Kuttikattor P.O,  Kozhikode,KozhikodeKerala673008",Kozhikode,Kerala,"+91 8606353333, 8606535555, 8606555595, 8606645555",principal@awhengg.org |  info@awhengg.org,http://awhengg.org/
"Aalim Muhammed Salegh College Of Engineering, Chennai","Muthapudupet, Avadi, IAF, Chennai,TiruvallurTamil Nadu600055",Chennai,Tamil Nadu,"+91 44 2684 2627, 2684 2086.",info@aalimec.ac.in | enquiry @aalimec.ac.in,http://aalimec.ac.in/
"Aarupadai Veedu Institute Of Technology, Kanchipuram","Vinayaka Nagar, Old Mahabalipuram Road, Paiyanoor, Kanchipuram,KanchipuramTamil Nadu603104 ",Kanchipuram,Tamil Nadu,"8754541024, 8754541025, 8754541026",contactus@avit.ac.in,http://www.avit.ac.in/
"Aastha Institute Of Management And Technology, Panipat","1st & 2nd Floor, Deep Complex, Next to Deep Hotel Opp. Bus Stand, Bishan Swaroop Colony Road, Panipat,PanipatHaryana132103 ",Panipat,Haryana,"(0180) 4005587, 9991124587, 9896124587, 8929924587",info@aastha.edu.in,http://www.aasthainstitute.in/
"Abacus Institute Of Engineering And Management, Hooghly","Natungram, Mogra,  Hooghly,HooghlyWest Bengal712141",Hooghly,West Bengal,03213-222660 / 222604 / 222603 / 222125 / +91 9433428843,abacus.institute@jisgroup.org,http://abacusinstitute.org
"Abdul Kalam Institute Of Technological Sciences, Khammam","Vepalagadda(V), Kothagudem (M), Khammam,KhammamAndhra Pradesh507131",Khammam,Andhra Pradesh,(08745) 257350,"admissions@akits.ac.in, info@akits.ac.in",http://www.akits.ac.in/
"Abes Institute Of Technology, Ghaziabad","19Th Km Stone, Nh-24, Delhi - Hapur Bypass Road, Vijay Nagar Ghaziabad,GhaziabadUttar Pradesh201009",Ghaziabad,Uttar Pradesh,0120-2842000,info@abes.in,N/A
"Abha Gaikwad Patil College Of Engineering, Nagpur","Kh.No. 8/1, Mohgaon, (P.S.K.- 74), Wardha Road,  Nagpur,NagpurMaharashtra441108",Nagpur,Maharashtra,0710 3645412 | 0712-2240656,principal@agpce.com,http://agpce.com
"Abhinav Institute Of Technology And Management, Mumbai","Vivekand classes Premises Blue perl, Next TO Sartaswat Bank.,Senapati Bapat Road,Dadar(W), Mumbai,Mumbai CityMaharashtra400028",Mumbai,Maharashtra,022-24329775/24384262/9322948376, enquiry.aitm@gmail.com,http://www.abhinavinst.com/
"Abhinav Institute Of Technology And Management, Pune","727, Savatamani Bhawan, Next to Kasba Ganpati, Pune,PuneMaharashtra411002",Pune,Maharashtra,"7498283500, 7498266775 /022-25331048 / 25382804",enquiry.aitm@gmail.com,http://www.abhinavinst.com
"Academy For Aeronautics And Computer Science, Pune","S.No. 94, P No. 1, Shivam arcade,  1st floor, Opp kothrud (P.M.T. Depot),Bhurasi colony, Paud Road, Kothrud, Pune,PuneMaharashtra411038",Pune,Maharashtra,+91 9766316568,enquiry@aeronauticalinstitute.org,N/A
"Academy Of Aviation Engineering And Technology, Visakhapatnam","No. 49-51-5/1, Sankaramatham Road, Santhipuram, Visakhapatnam,VisakhapatnamAndhra Pradesh530016 ",Visakhapatnam,Andhra Pradesh,"(0891) 2712552, 6451237, 9866123447, 9000004457",aaetvizag@gmail.com,N/A
"Academy Of Business And Engineering Sciences, Ghaziabad","Campus- 1, 19th KM Stone, NH. 24, Delhi-Hapur Bypass Road, Vijay Nagar, Ghaziabad,GhaziabadUttar Pradesh201009",Ghaziabad,Uttar Pradesh,"(0120) 7135112 (30 Lines), 2845112, 2845113, 9999889342, 9582260304",info@abes.ac.in,www.abes.ac.in
"Academy Of Technology, Hooghly","G.T. Road,, P.O. Aedco Nagar,  Hooghly,HooghlyWest Bengal712121 ",Hooghly,West Bengal, +91 8334862299/8334872299 ,academy@aot.edu.in,http://aot.edu.in/
"Accurate Institute Of Management And Technology, Noida","49, Knowledge Park-III,  Greater Noida, (U.P.),  Noida,Gautam Buddha NagarUttar Pradesh201306",Noida,Uttar Pradesh,"0120-2328234/35, 1800-180-3515","info@accurate.in,  admissions@accurate.in",http://www.accurate.in/
"ACE College Of Engineering And Management, Agra","7 Km. Stone, NH-2, Opp. Budia ka Taal, Agra - Kanpur Road, Etmadpur, Agra,LucknowUttar Pradesh282002",Agra,Uttar Pradesh,+91 9258001144,acecollegeagra@gmail.com,http://www.acecollegeagra.com
"Achariya College Of Engineering Technology, Pondicherry","Achariyapuram, Villianur, Pondicherry,PondicherryPondicherry605110",Pondicherry,Pondicherry,"0413-4500960, 9344497462, 9344497456, 9360293679, 9887256009",aaschead@achariya.org,http://acet.edu.in/
"Acharya Institute Of Technology, Bangalore","Soldevanahalli, Hesaraghatta Main Road, Bangalore,BangaloreKarnataka560107 ",Bangalore,Karnataka,(080) 23722222 | 9731762177,"admissions@acharya.ac.in, principal@acharyainstitutes.ac.in",http://www.acharya.ac.in/
"Acharya Vinoba Bhave Institute Of Technology, Wardha","Nav Disha Education Society, Canal Road, Paunar, Mauza-Pawnar, Wardha,WardhaMaharashtra",Wardha,Maharashtra,"9552654875, 9860889904","avbit2008@rediffmail.com  , avbit2008@gmail.com",http://www.avbit.in/
"Achutha Institute Of Technology, Bangalore","Survey No. 115, Bommaganahalli Village, off Peresandra to Gudibande Road Gudibande Post, Chickballapur Taluq & District, Bangalore,BangaloreKarnataka561209",Bangalore,Karnataka,"(080) 28571600, 28571800, 9448079180, 8156319704, 9482664444",achuthaet@gmail.com,N/A
"Acropolis Institute Of Technology And Research, Bhopal","G-6 Kamdhenu Tower, E-2/21, Arera Colony, Opp Habbibganj Railway Station, Bhopal,BhopalMadhya Pradesh462022",Bhopal,Madhya Pradesh, +91-8719092271 ,"admission@acropolis.co.in, academic@acropolis.co.in, admin@acropolis.co.in",http://www.acropolis.co.in
"Acropolis Institute Of Technology And Research, Indore","Indore Bypass Road, Near Ralamandal, Tillore Village, Indore,IndoreMadhya Pradesh452020",Indore,Madhya Pradesh,"0731-2581000,2581001,2581111",admission@acropolis.in,"www.acropolis.in, www.atc.ac.in"
"Adamas Institute Of Technology, Barasat","Barasat - Barrackpore Road, Barbaria, P.O. - Jagannathpur, Barasat,North 24 ParganasWest Bengal700126",Barasat,West Bengal,(033) 645 01430,ait@adamas.co.in,http://www.adamas.co.in
"Adams Engineering College, Khammam","Seetharamapatnam, Paloncha, Khammam,KhammamAndhra Pradesh507115",Khammam,Andhra Pradesh,"+91-9392775803, +91-8744-253001","principaladams@gmail.com, adamsprincipaloffice@gmail.com",http://adamsenggcollege.ac.in/
"Adarsh Institute Of Technology And Research Centre, Vita","A/P- Khambale(Bha.), Sangli Road,Near Karve MIDC-Vita, Taluka - Khanapur, Vita,SangliMaharashtra415311",Vita,Maharashtra,"(02347) 229021, 229191 , 7755900500",aitrc@agiv.edu.in,http://aitrc.agiv.edu.in/
"Adarsha College Of Engineering, Angul","At - Adarsha Vihar, Near R.T.O, NH-55,. Angul,AngulOrissa759122",Angul,Orissa,"06764 - 214015 / 214133 | +91 -8895364599, +91 -9938133789, +91 -9437383020","ace.angul@yahoo.com, pcdhall@gmail.com ",http://www.adarshaengg.com/
"Adesh Institute Of Engineering And Technology, Faridkot","K-64, Sadiq Road, Faridkot,FaridkotPunjab151203",Faridkot,Punjab,"(01639) 240001, 240414",aietfaridkot@yahoo.co.in,http://www.aiet.in/
"Adesh Institute Of Technology, Gharuan","Ludhiana-Chandigarh Road,9 KM from Kharar Bus Stand,National Highway - 95,  Gharuan,MohaliPunjab140413 ",Gharuan,Punjab,"+91-81466-53550, +91-94634-02012","aitgharuan@gmail.com, drpundhir@hotmail.com",http://aitgharuan.in/
"Adhi College Of Engineering And Technology, Kanchipuram","No.6, Munu Adhi Nagar Sankarapuram, Behind S.V. Sugar Mill Puliambakkam Post, Near Walajabad, Kanchipuram,KanchipuramTamil Nadu631605",Kanchipuram,Tamil Nadu,"72990 93366, 90940 41754 ","admission@adhi.edu.in ,principal@adhi.edu.in ",http://adhi.edu.in/
"Adhiparasakthi College Of Engineering, Vellore","G.B. Nagar, Kalavai, Arcot Taluk Vellore,VelloreTamil Nadu632506",Vellore,Tamil Nadu,"4173 - 242648,242089, 242584",principal@apcegbn.org,www.apcegbn.org
"Adhiparasakthi Engineering College, Kanchipuram","Melmaruvathur Post, Cheyyur Taluk, Kanchipuram,KanchipuramTamil Nadu603319",Kanchipuram,Tamil Nadu,"044 – 275 29 584, 275 29 585, 275 29 502, 275 29 247",apec1984@rediffmail.com,http://adhiparasakthi.in
"Adhiyamaan College Of Engineering, Hosur","Dr. Mgr Nagar, Hosur-Taluk, Hosur,KrishnagiriTamil Nadu635109",Hosur,Tamil Nadu,(04344)260570 / 261002,"principal@adhiyamaan.ac.in, dean@adhiyamaan.ac.in",http://www.adhiyamaan.ac.in/
"Adhunik College Of Engineering, Ghaziabad","9th Mile Stone, Delhi-Meerut Road, (NH-58) Duhai, Ghaziabad,GhaziabadUttar Pradesh201206 ",Ghaziabad,Uttar Pradesh,"0120 - 2679219 / 220 / 221, +91 - 9818592787, 9897698822",adhunikinstitute@yahoo.com,http://www.adhunikinstitute.edu.in/
"Adi Shankara Institute Of Engineering And Technology, Ernakulam","Vidya Bharathi Nagar , Mattoor, Kalady, Ernakulam,ErnakulamKerala683574",Ernakulam,Kerala,"0484-2463825, 2463062, 2460487",adishankara.net@gmail.com,http://www.adishankara.ac.in/
"Adichunchanagiri Institute Of Technology, Chikmagalur","Adichunchanagiri Extn, Jyothinagara, Chickmagalur Chikmagalur,ChickmagalurKarnataka577102",Chikmagalur,Karnataka,91-8262- 220444/94484 80343,"ait_ckm@rediffmail.com,  subrayack@gmail.com",http://www.aitckm.in/
"Adithya Institute Of Technology, Coimbatore","Sathy Main Road,Kurumbapalayam, Coimbatore,CoimbatoreTamil Nadu641107",Coimbatore,Tamil Nadu,7373700933,info@adithyatech.edu.in,http://adithyatech.edu.in/
"Aditya College Of Technology, Satna","Sc Plot No. 95, Sherganj Block, Shohawal Satna Satna,SatnaMadhya Pradesh",Satna,Madhya Pradesh,"0755-280391,280395",N/A,N/A
"Aditya Engineering College, Beed","Kala Hanumanthana, Talegoan Road, Beed Beed,BeedMaharashtra431122",Beed,Maharashtra,(02422) O-227038/221812,aditya_education@rediffmail.com,www.adityaeducation.org
"Aditya Engineering College East Godavari, Peddapuram","Surampalem, Peddapuram Peddapuram,East GodavariAndhra Pradesh533437",Peddapuram,Andhra Pradesh,"91-8852-252243, 252250",adityaengineering@yahoo.com,www.adityaedu.org
"Aditya Institute Of Technology And Management, Tekkali","K. Kotturu Village, Chakapalli Post, Tekkali Tekkali,SrikakulamAndhra Pradesh532201",Tekkali,Andhra Pradesh,+91 92466 57908,info@adityatekkali.edu.in,https://www.adityatekkali.edu.in/
"Agnel Charities Fr Conceico Rodrigues Inst Of Tech, Thane","Sector 9/A, Vashi, Navi Mumbai Thane,ThaneMaharashtra400703",Thane,Maharashtra,022-264(02384)1/ 264(02384)2,angelvox@bom4.vsnl.net.in,www.agnelcrit.org
"Agra Public College Of Technology And Management, Agra","Heera lal Ki Pyau, Village Artoni, Delhi–Agra National Highway (NH 2),  Agra,LucknowUttar Pradesh282007",Agra,Uttar Pradesh,"+91-7906660847, +91-8192066660, +91-7900611100",agrapublic@gmail.com,http://www.agrapublic.com/
"Agra Public Institute Of Technology And Computer Education, Agra","Heera lal ki pyau, Artoni, Agra,LucknowUttar Pradesh282007",Agra,Uttar Pradesh,+91 7669929705,agrapublic@gmail.com,http://www.agrapublic.com/
"Ahmedabad Institute Of Technology, Ahmedabad","Near Vasant Nagar Township, Gota Ognaj Road Ahmedabad,AhmedabadGujarat380060",Ahmedabad,Gujarat,02717-241132,Ait_enggcollege@yahoo.co.in,N/A
"Aizza College Of Engineering And Technology, Mancherial","Mulkalla, Mancherial Mancherial,AdilabadAndhra Pradesh504209",Mancherial,Andhra Pradesh,08736 232343,N/A,www.aizza.org
"Ajay Binay Institute Of Technology, Cuttack","Plot No. 11/1/A,Sector- 1, Bidanasi Hounsing Project Area, Cuttack Cuttack,CuttackOrissa753014",Cuttack,Orissa,0671-2342012/231691,N/A,www.abit-pmca.com
"Ajay Kumar Garg Engineering College, Ghaziabad","27 Km. Sonte, Delhi-Hapur Bypass Road, P.O. Adhyatmik Nagar, Ghaziabad Ghaziabad,GhaziabadUttar Pradesh201009",Ghaziabad,Uttar Pradesh,"0120 - 2767385,2765790",akgecor@akgec.org,www.akgec.org
"Ajmer Institute Of Technology, Ajmer","Pushkar Bye Pass, Ajemr Ajmer,AjmerRajasthan305006",Ajmer,Rajasthan,"91-145-2300628, 2300629",ait-ajmer@rediffmail.com,N/A
"Al Ameen Engineering College, Palakkad","Kulapulli, P.O., Shornur, Palakkad Palakkad,PalakkadKerala",Palakkad,Kerala,04926-2221457,alameen_kulappully@yahoo.co.in,www.alameencollege.com
"Al Flah School Of Engineering And Technology, Faridabad","Village Dhoj, Faridabad Faridabad,FaridabadHaryana121004",Faridabad,Haryana,"0129-2206223, 2206593",N/A,WWW.ALFALAH-EDU.COM
"Alagappa Chettiar College Of Engineering And Technology, Karaikudi","Karaikkudi, Karaikudi,SivagangaTamil Nadu623003",Karaikudi,Tamil Nadu,"04565-224535, 224528",N/A,www.accet.net
"Alice Institute Of Technology, Ranchi","Vill & P.O.-Nawagarh, P.S. Sikidiri Block, Angara Ranchi Ranchi,RanchiJharkhand",Ranchi,Jharkhand,273120/21/23,N/A,www.aitnawagrah.com
"Aligarh College Of Engineering And Technology, Aligarh","3 kms from Sasni Gate on Mathura Road, Aligarh,AligarhUttar Pradesh202001",Aligarh,Uttar Pradesh,+91 9568200010/ 60/ 61/ 62/ 63/ 64/ 65/ 66/ 69/ 71/ 77,"mail@acetup.org, admissions@acetup.org",http://www.acetup.org/
"All India Shri Shivaji Memorial Society College Of Engineering, Pune","Kennedy Road, Near R.T.O, Haveli Pune,PuneMaharashtra411001",Pune,Maharashtra,020 25534661-60,contact@aicoep.org / principal@aicoep.org,www.aicoep.org
"All India Shri Shivaji Memorial Society Inst Of Info Tech, Pune","Kennedy Road, Near R.T.O, Haveli Pune,PuneMaharashtra411001",Pune,Maharashtra,020 25534661,aiwcoep@hotmail.com,www.aissmswcoe.org
"All Saints College Of Engineering, Bhopal","Gram Pipalner Bhopal,BhopalMadhya Pradesh462036",Bhopal,Madhya Pradesh,0755-2640097,N/A,Allsainits2@sancharnet.in
"All Saints College Of Technology, Bhopal","Jaipur, Jabalpur, Nh 12, Gandhi Nagar Bhopal,BhopalMadhya Pradesh462831",Bhopal,Madhya Pradesh,"0755-2580650,2645644,2545555","contact@asctbhopal.com,allsaint@sancharnet.in",N/A
"Alpha College Of Engineering, Thanjavur","No.34, Udayavar Koil Village, Thirumazhisai, Poonamalle Thanjavur,TiruvallurTamil Nadu602107",Thanjavur,Tamil Nadu,044-26495211,engineering@alphagroup.edu,www.alphagroup.edu
"Alpha College Of Engineering, Bangalore","8/1, Hanumantha Sagara, Bangalore North Taluk Bangalore,BangaloreKarnataka",Bangalore,Karnataka,080-28445218,principal@alphace.org,www.alphace.org
"Alwar Institute Of Engineering And Tech, Alwar","North Extension, M.I.A. Alwar Alwar,AlwarRajasthan301030",Alwar,Rajasthan,0144-2881956,N/A,N/A
"Amal Jyothi Engineering College, Kottayam","Koovappally P.O, Kottayam Kottayam,KottayamKerala",Kottayam,Kerala,04828-251661/251898/251895,info@amaljyothi.com,www.amaljyothi.com
"Ambala College Of Engineering And Applied Research, Ambala","Akbar Pur , P.O, Bihta, Ambala Ambala,AmbalaHaryana113310",Ambala,Haryana,"0171-2822002-03, 2821833",ACEAMB@SANCHARNET.IN,N/A
"Ambedkar Institute Of Advanced Communication Technologies And Research, Delhi","Geeta Colony, Delhi,East DelhiDelhi110031",Delhi,Delhi,(011) 22048047 | 9811008542,princait.delhi@nic.in,http://aiactr.ac.in/
"Amrapali Institute Of Tech And Science, Haldwani","Shiksha Nagar, Lamachaur, Haldwani Haldwani,NainitalUttarakhand263139",Haldwani,Uttarakhand,"05946-238201, 02",aimca@vsnl.com,www.amrapaliinstitute.ac.in
"Amrita Institute Of Technology And Science, Kollam","Vallickavu, Clappana Kollam,KollamKerala690525",Kollam,Kerala,0484-2802030,pharmacycollege@medicalamrita.edu,N/A
"Amritsar College Of Engineering And Technology, Amritsar","Amritsar-Jalandhar G. T. Road, Amritsar Amritsar,AmritsarPunjab",Amritsar,Punjab,"01639-240413, 240206, 240148",aietfaridkot@yahoo.co.in,N/A
"Amrutvahini Col Of Engineering Amrutnagar, Ahmednagar","Amrutvahini Sheti & Shikshan Vikas Sanstha, Ghulewadi,Amrutnagar, Sangamner Ahmednagar,AhmednagarMaharashtra422608",Ahmednagar,Maharashtra,02425 259014/15/ 17/18,principal@amrutvahiniengg.com,www.amrutvahiniengg.org
"Anand Engineering College, Agra","Arsena, Runakta, Opp. Kithem Lake, Agra-Delhi Highway, Agra,AgraUttar Pradesh282002",Agra,Uttar Pradesh,05613 - 271025 - 27,"registraraec@sgei.org, admissions@sgei.org",https://anandcampus.edu.in
"Anand Institute Of Higher Technology, Chennai","Kalasalingam Nagar, Old Mahabalipuram Road,Kazhipattur, Chennai Chennai,KanchipuramTamil Nadu603103",Chennai,Tamil Nadu,"044 - 27475530,27475520",aiht_anand@yahoo.co.in,N/A
"Angel College Of Engineering And Technology, Coimbatore","P.K. Palayam, Ugayanur Village, Dharapuram Main Road,Tirupur Coimbatore,CoimbatoreTamil Nadu641665",Coimbatore,Tamil Nadu,0421-6534903,acet@angelindia.com,www.angelindia.com
"Anjalai Ammal Mahalingam Engineering College, Tiruvarur","Kovilvenni Tiruvarur,TiruvarurTamil Nadu614403",Tiruvarur,Tamil Nadu,"04374 - 2532516,2532696",aamecprincipal@aamec.com,www.aamec.com
"Anjuman Engineering College, Bhatkal","P.O.Box 24, Bhatkal Bhatkal,BangaloreKarnataka581320",Bhatkal,Karnataka,08385-226554/227175,aeccyber@sancharnet.in,www.anjumanbhatkal.com
"Anjuman Hami E Islams Anjuman College Of Engineering, Nagpur","Mangalwadi Bazar Road, Sadar, Nagpur Nagpur,NagpurMaharashtra440001",Nagpur,Maharashtra,0712 2557820,eng_acet@rediffmail.com,www.anjumanengg.com
Anjuman I Islams M H Saboo Siddik College Of Engineering,"8,Saboo Siddik Polytechnic Road, Shepherd Road, P.B. No.4627, BycullaMaharashtra400008",N\A,Maharashtra,022 22620177,sabcoleg@vsnl.com,www.mhss.edu
"Ankush Shikshan Sansthas G H Raisoni College Of Engineering, Nagpur","Crpf Gate. No.3, Digboi Hills, Hingna Road Nagpur Nagpur,NagpurMaharashtra400016",Nagpur,Maharashtra,07101 -236383/ 236350/235390,info@ghrce.com,www.ghrce.com
"Annai Mathammal Sheela Engineering College, Namakkal","Erumapatti Post, Namakkal Taluk, 14 Police Line Extension, Rasipuram Namakkal,NamakkalTamil Nadu637408",Namakkal,Tamil Nadu,"04286-252253 252255,252263",info@amsheela.org,www.amsheela.org
"Annai Therasa College Of Engineering, Villupuram","Ulundurpet Taluk, Thirunavalur Villupuram,ViluppuramTamil Nadu607204",Villupuram,Tamil Nadu,"4149 - 224058,224057",annaiteresacollege@rediffmail.com,N/A
